n,p,noise_sigma,itr,dim,add_var,sum_var,deflation,method,elapsed_time
100,200,0.1,3,4,0.982109289906637,3.91578130557502,HD,SCCA,0.124803125
100,200,0.1,3,5,0.932438788482892,4.84822009405791,HD,SCCA,0.124803125
100,200,0.1,3,1,0.96224005916848,0.96224005916848,HD,GN-SCCA,0.11893575
100,200,0.1,3,2,0.968855112875585,1.93109517204407,HD,GN-SCCA,0.11893575
100,200,0.1,3,3,0.17497117159296,2.10606634363702,HD,GN-SCCA,0.11893575
100,200,0.1,3,4,0.677838987703977,2.783905331341,HD,GN-SCCA,0.11893575
100,200,0.1,3,5,0.557106768656836,3.34101209999784,HD,GN-SCCA,0.11893575
100,200,0.1,3,1,0.962347452030988,0.962347452030988,PD,SCCA,0.0383975
100,200,0.1,3,2,0.976743492192932,1.93909094422392,PD,SCCA,0.0383975
100,200,0.1,3,3,0.966858929723998,2.90594987394792,PD,SCCA,0.0383975
100,200,0.1,3,4,0.968301098438833,3.87425097238675,PD,SCCA,0.0383975
100,200,0.1,3,5,0.935453010440152,4.8097039828269,PD,SCCA,0.0383975
100,200,0.1,3,1,0.944169932650817,0.944169932650817,PD,GN-SCCA,0.11630425
100,200,0.1,3,2,0.925065666612148,1.86923559926296,PD,GN-SCCA,0.11630425
100,200,0.1,3,3,0.956227848995959,2.82546344825892,PD,GN-SCCA,0.11630425
100,200,0.1,3,4,0.948677337584091,3.77414078584301,PD,GN-SCCA,0.11630425
100,200,0.1,3,5,0.951024732172839,4.72516551801585,PD,GN-SCCA,0.11630425
100,200,0.1,3,1,0.97648979328434,0.97648979328434,OPD,SCCA,0.038042917
100,200,0.1,3,2,0.98224362944982,1.95873342273416,OPD,SCCA,0.038042917
100,200,0.1,3,3,0.975101159288552,2.93383458202271,OPD,SCCA,0.038042917
100,200,0.1,3,4,0.978689618597537,3.91252420062025,OPD,SCCA,0.038042917
100,200,0.1,3,5,0.937104563805085,4.84962876442533,OPD,SCCA,0.038042917
100,200,0.1,3,1,0.944277326806452,0.944277326806452,OPD,GN-SCCA,0.140171584
100,200,0.1,3,2,0.941128771903904,1.88540609871036,OPD,GN-SCCA,0.140171584
100,200,0.1,3,3,0.948668954981123,2.83407505369148,OPD,GN-SCCA,0.140171584
100,200,0.1,3,4,0.950971920150405,3.78504697384188,OPD,GN-SCCA,0.140171584
100,200,0.1,3,5,0.954412884906354,4.73945985874824,OPD,GN-SCCA,0.140171584
100,200,0.1,4,1,0.970821331333731,0.970821331333731,HD,SCCA,0.075384125
100,200,0.1,4,2,0.982441905397038,1.95326323673077,HD,SCCA,0.075384125
100,200,0.1,4,3,0.98735504542216,2.94061828215293,HD,SCCA,0.075384125
100,200,0.1,4,4,0.906987650031145,3.84760593218407,HD,SCCA,0.075384125
100,200,0.1,4,5,0.887424553283653,4.73503048546773,HD,SCCA,0.075384125
100,200,0.1,4,1,0.923247610508019,0.923247610508019,HD,GN-SCCA,0.102359875
100,200,0.1,4,2,0.91732611466926,1.84057372517728,HD,GN-SCCA,0.102359875
100,200,0.1,4,3,0.980202068002518,2.8207757931798,HD,GN-SCCA,0.102359875
100,200,0.1,4,4,0.935680603048051,3.75645639622785,HD,GN-SCCA,0.102359875
100,200,0.1,4,5,0.565076689053801,4.32153308528165,HD,GN-SCCA,0.102359875
100,200,0.1,4,1,0.96893495590276,0.96893495590276,PD,SCCA,0.066045792
100,200,0.1,4,2,0.982715840630733,1.95165079653349,PD,SCCA,0.066045792
100,200,0.1,4,3,0.985419634971063,2.93707043150456,PD,SCCA,0.066045792
100,200,0.1,4,4,0.929192964535603,3.86626339604016,PD,SCCA,0.066045792
100,200,0.1,4,5,0.960344967426965,4.82660836346712,PD,SCCA,0.066045792
100,200,0.1,4,1,0.949504582247622,0.949504582247622,PD,GN-SCCA,0.120630042
100,200,0.1,4,2,0.972213930356483,1.9217185126041,PD,GN-SCCA,0.120630042
100,200,0.1,4,3,0.938674471652239,2.86039298425634,PD,GN-SCCA,0.120630042
100,200,0.1,4,4,0.96601497117225,3.82640795542859,PD,GN-SCCA,0.120630042
100,200,0.1,4,5,0.94222379883917,4.76863175426776,PD,GN-SCCA,0.120630042
100,200,0.1,4,1,0.971287529529998,0.971287529529998,OPD,SCCA,0.044574625
